compound,section,correction_structure,correction_composition,correction_verdict,rwp_auto,rwp_manual,frac_auto_pct,frac_manual_pct,prx_e1,prx_e2,prx_e3,prx_e4,prx_proposed_sym,prx_indexed_sym,prx_candidates,prx_icsd_codes,prx_uncertain,scan_auto_sg,scan_auto_disordered,scan_mixed_sites,correction_rivals,auto_cif,auto_cif_sha256,auto_cif_resolved,man_cif,man_cif_sha256,man_cif_resolved,ordering_note
K2TiCr(PO4)3,main,confirmed,confirmed,confirmed,9.42,7.05,,93.79,0,0,1,0,P213 (198),P213 (198),K2Ti2(PO4)3; Cr2O3,202888;626479,0,P2_13,0,,KTi2(PO4)3 ICSD #23529 [ICSD 23529],data/cifs/Automated_Refinement_Results/K2TiCr(PO4)3/K2TiCr(PO4)3.cif,95464769786c3f4b871c7b82a8ef8ecc2211d970d413c33df6ba3d6dc1df8169,True,data/cifs/Manual_Refinement_Results/K2TiCr(PO4)3/K2TiCr(PO4)3.cif,cc1e5abfa4431cd86c57ce4e2adb4a06da186ea294800f3f3b538b8ab4a92c3a,True,True
MgTi2NiO6,main,confirmed,confirmed,confirmed,5.15,4.93,,96.53,0,0,1,0,R3 (146),R3 (146),(Ni0.5Mg0.5)TiO3; TiO,171583;38755,0,R3,0,,MgTiO3 ICSD #19786 [ICSD 19786]; NiTiO3 ICSD #79284 [ICSD 79284],data/cifs/Automated_Refinement_Results/MgTi2NiO6/MgTi2NiO6.cif,a0e4cbf5a94ec217a434417589584373078a7f1658056f08fd7119c51329b9b3,True,data/cifs/Manual_Refinement_Results/MgTi2NiO6/MgTi2NiO6.cif,21039d139344898e4b2c3778536c4341e29fed3177d67d567722a64d2bc6e814,True,True
K4MgFe3(PO4)5,main,confirmed,confirmed,confirmed,4.42,4.09,94.18,,1,0,0,0,Cc (9),Cc (9),K4MgFe3(PO4)5,161484,0,Cc,0,,K4Fe4(PO4)5 ICSD #290271 [ICSD 290271],data/cifs/Automated_Refinement_Results/K4MgFe3(PO4)5/K4MgFe3(PO4)5.cif,c78fe8c2f3ebc0c662c6129596cccde549683bd3dcae88919f5e199dd158e889,True,data/cifs/Manual_Refinement_Results/K4MgFe3(PO4)5/K4MgFe3(PO4)5.cif,1ebb35b1f1029d81eadb566ae41518d36d556ec42944991d2875843169e1dce1,True,True
InSb3(PO4)6,main,confirmed,confirmed,confirmed,8.55,6.17,22.59,22.8,,,,,Pc (7),Pc (7),Sb0.5In0.5(P2O7); Sb(Sb0.5In0.5)(PO4)3,166834;166835,0,Pc,0,,Sb2(PO4)3 ICSD #72735 [ICSD 72735],data/cifs/Automated_Refinement_Results/InSb3(PO4)6/InSb3(PO4)6.cif,1453ab9196026960b59c1472ca941a5968a79d9d73b36dc4929b4fc000952a55,True,data/cifs/Manual_Refinement_Results/InSb3(PO4)6/InSb3(PO4)6.cif,6a524ebbbd35fcd4dc5c3f7e69a410a25b2f08a765698bd2b028a6f46c6c68e9,True,True
Na3Ca18Fe(PO4)14,main,confirmed,confirmed,confirmed,11.88,4.29,,67.54,1,0,0,0,P1 (1),P1 (1),Na3Ca18Fe(PO4)14 [ALREADY KNOWN],85103,0,P1,0,,,data/cifs/Automated_Refinement_Results/Na3Ca18Fe(PO4)14/Na3Ca18Fe(PO4)14.cif,fac1967842190cc6147bbd0a17e0a9211d04790041ea52b5a6e83821c434576e,True,data/cifs/Manual_Refinement_Results/Na3Ca18Fe(PO4)14/Na3Ca18Fe(PO4)14.cif,e39603130869269f26310f28ea4a3f96e525c0bb9e1e5661a739665070040a8a,True,True
Zn3Ni4(SbO6)2,main,confirmed,confirmed,confirmed,4.17,3.76,55.18,74.74,,,,,C2/c (15),C2/c (15),Zn(Zn1.333Sb0.667)O4; NiO; NiSb2O6,173996;9866;426852,0,C2/c,1,Ni0.6666 Sb0.3333,Zn4Ni3(SbO6)2 ICSD #109467 [ICSD 109467]; Zn7(SbO6)2 ICSD #109464 [ICSD 109464],data/cifs/Automated_Refinement_Results/Zn3Ni4(SbO6)2/Zn3Ni4(SbO6)2.cif,c7508d38ceec55eb1c52e80821c2125600f33d8e2f41a0fa3b536310d1af21a9,True,data/cifs/Manual_Refinement_Results/Zn3Ni4(SbO6)2/Zn3Ni4(SbO6)2.cif,52a48547e19c2661e1fb6323a3a7c181cf94b50678abcdf2be8320224b88226a,True,True
NaMnFe(PO4)2,main,confirmed,confirmed,confirmed,3.21,1.81,78.85,75.66,1,0,0,0,P-1 (2),P-1 (2),Na2Mg2Fe(PO4)3,138263,0,P-1,0,,NaMnFe(PO4)2 ICSD #151483 [ICSD 151483]; Na8Mn8Fe4P12O48 ICSD #95725 [ICSD 95725]; Na4Mn4Fe8P12O48 ICSD #261050 [ICSD 261050],data/cifs/Automated_Refinement_Results/NaMnFe(PO4)2/NaMnFe(PO4)2.cif,34d812c239bfad05b65de252d76b608c35b433919a7ad944f6b8c53562c623f2,True,data/cifs/Manual_Refinement_Results/NaMnFe(PO4)2/NaMnFe(PO4)2.cif,95639e494db6f55c9f4735d0d9669abf5ece80146335c760bec264666c6a1798,True,True
KNaTi2(PO5)2,main,confirmed,confirmed,confirmed,13.79,9.04,,92.74,0,0,1,0,Pna21 (33),Pna21 (33),Na0.5(Na0.492K0.008)(TiO)(PO4),59284,0,Pna2_1,0,,K2Ti2(PO5)2 ICSD #6199 [ICSD 6199],data/cifs/Automated_Refinement_Results/KNaTi2(PO5)2/KNaTi2(PO5)2.cif,3bf19c60f7d842a681b2f27ba2aace4f05b65304a94c92b8640692013df91b24,True,data/cifs/Manual_Refinement_Results/KNaTi2(PO5)2/KNaTi2(PO5)2.cif,3ebc9c3a47010ee3481d04f15d719b507041a32b7d4016b9ac46035dbec066cd,True,True
Ba9Ca3La4(Fe4O15)2,main,confirmed,analysis,confirmed,15.16,5.5,90.07,41.74,,,,,P1 (1),P1 (1),Ba4.5Ca1.5La2Fe4O15,72336,0,P1,1,Ca0.429 La0.571,Ba9.95Ca2.05La4(Fe4O15)2 ICSD #69653 [ICSD 69653]; Ba12La4(Fe4O15)2 ICSD #40071 [ICSD 40071],data/cifs/Automated_Refinement_Results/Ba9Ca3La4(Fe4O15)2/Ba9Ca3La4(Fe4O15)2.cif,ba722ea7bfc6b7729f0e895aed7bc15f83c43b4492b35f334a70fc73168512d2,True,data/cifs/Manual_Refinement_Results/Ba9Ca3La4(Fe4O15)2/Ba9Ca3La4(Fe4O15)2.cif,d718dbbf9cd031e3c4898f9b8a068aee0813c276a3e879015c046426ac124917,True,True
Sn2Sb2Pb4O13,main,confirmed,confirmed,confirmed,12.55,7.14,,89.23,0,0,1,0,Imm2 (44),Imm2 (44),Pb2(Sn;Sb)O6.5,62722,0,Imm2,0,,Pb2Sn2O6 ICSD #15308 [ICSD 15308]; Pb2Sb2O7 ICSD #24246 [ICSD 24246],data/cifs/Automated_Refinement_Results/Sn2Sb2Pb4O13/Sn2Sb2Pb4O13.cif,17a6ac44197539c45366b2a6aa10b3be2dcacfe67c853f7f7803b655b19f7584,True,data/cifs/Manual_Refinement_Results/Sn2Sb2Pb4O13/Sn2Sb2Pb4O13.cif,fc5c58f0b5af66916899247ee793cde43fb5d608089b444295c337d753fa363d,True,True
Hf2Sb2Pb4O13,main,confirmed,confirmed,confirmed,7.6,5.98,,95.58,0,0,1,0,Imm2 (44),Imm2 (44),Pb2(Hf;Sb)O6.5; PbHfO3,62723;174110,0,Imm2,0,,Pb2Sb2O7 ICSD #24246 [ICSD 24246],data/cifs/Automated_Refinement_Results/Hf2Sb2Pb4O13/Hf2Sb2Pb4O13.cif,aaaef690d7abca7e491eb8e558a660a08014fcb622b38a7493c153dbc24dd554,True,data/cifs/Manual_Refinement_Results/Hf2Sb2Pb4O13/Hf2Sb2Pb4O13.cif,231082457a9b3c2c32c6aeff3d6be9c2b1180253285b303d067dcf3350fbe821,True,True
InSb3Pb4O13,main,confirmed,confirmed,confirmed,21.14,8.17,,61.65,0,0,1,0,R3m (160),R3m (160),Pb2(InSb)O6.5; In2O3,41119;14388,0,R3m,0,,Pb2Sb2O7 ICSD #24246 [ICSD 24246],data/cifs/Automated_Refinement_Results/InSb3Pb4O13/InSb3Pb4O13.cif,bd4d09ae5310ecc49b55ee451f188939ed09cf331e468637fc55d11f7465e240,True,data/cifs/Manual_Refinement_Results/InSb3Pb4O13/InSb3Pb4O13.cif,5f8df3973346ead946654ba8b75dcb335e1470e16903b05929e0e29b69551276,True,True
NaCaMgFe(SiO3)4,main,confirmed,confirmed,confirmed,2.61,2.36,,98.83,0,1,1,0,C2 (5),C2 (5),(Ca0.774Na0.226)(Mg0.901Fe0.099)Fe0.011(Si2O6),75294,0,C2,1,Na0.25 Ca0.25 Mg0.25 Fe0.25,,data/cifs/Automated_Refinement_Results/NaCaMgFe(SiO3)4/NaCaMgFe(SiO3)4.cif,cf42dd40e45bc094185ced4e6f27a47025271c4e2c96541563d08b86d1c77ab4,True,data/cifs/Manual_Refinement_Results/NaCaMgFe(SiO3)4/NaCaMgFe(SiO3)4.cif,9d3a8712e80a190a00fe3ac4528231758cc9e5f0591bd4f44e753f2487c8096b,True,True
Ba6Ta2Na2V2O17,main,,confirmed,confirmed,26.47,12.93,,63.38,1,0,1,0,P63mmc (194),P63mmc (194),BaNaVO4; NaVO3,130002;2103,0,P6_3/mmc,0,,"Ba6Ta2Na2V2O17 A-Lab (automated, 12H-type); Ba6Ta2Na2V2O17 [Quarez, et al. (2003), 12H-type]",data/cifs/Automated_Refinement_Results/Ba6Na2Ta2V2O17/Ba6Na2Ta2V2O17.cif,ff9eacf6c4551a0f36c416d41e5daf0b81e363b286400aa25bf5aab842ee76af,True,data/cifs/Manual_Refinement_Results/Ba6Na2Ta2V2O17/Ba6Na2Ta2V2O17.cif,f037e8404ef47ac0a35fe6b90a39d6fa207e7f6445724cdb8a2207861b7e404d,True,True
KNa2Ga3(SiO4)3,main,confirmed,analysis,confirmed,21.5,9.94,85.09,69.85,,,,,P21/c (14),P21/c (14),NaGaSiO4,46861,0,P2_1/c,0,,KGaSiO4 ICSD #46863 (KAlGeO4-type) [ICSD 46863]; NaGaSiO4 ICSD #411328 (KAlGeO4-type) [ICSD 411328]; NaGaSiO4 ICSD #46861 (beryllonite-type) [ICSD 46861],data/cifs/Automated_Refinement_Results/KNa2Ga3(SiO4)3/KNa2Ga3(SiO4)3.cif,92e01f4d253aec5ecfc52bf079baaf1adf9f7c33d88e0fb248a30a51af27499b,True,data/cifs/Manual_Refinement_Results/KNa2Ga3(SiO4)3/KNa2Ga3(SiO4)3.cif,da8aa7bd8fe576402aea6bdad1bac04b51d05ad10f6958830e68e1be72e4e57c,True,True
Ba2ZrSnO6,main,confirmed,analysis,confirmed,19.22,9.72,91.12,22.0,1,1,1,0,Fm-3m (225),Pm-3m (221),BaSnO3; Ba(Zr0.5Sn0.5)O3; SnO2; ZrO2,188149;43137;9163;66781,0,Pm-3m,1,Zr0.5 Sn0.5,BaSnO3 ICSD #188149 [ICSD 188149]; BaZrO3 ICSD #90049 [ICSD 90049],data/cifs/Automated_Refinement_Results/Ba2ZrSnO6/Ba2ZrSnO6.cif,6bbefe48a920eaff7c1d2281a1fef0f73a34d12b9f082ca64f0399816fd82a1a,True,data/cifs/Manual_Refinement_Results/Ba2ZrSnO6/Ba2ZrSnO6.cif,d341e349eee6ff2f1f41a01a4ce6d08af041186e21170d6be0743a60f8184fb2,True,True
CaMn(PO3)4,main,confirmed,confirmed,confirmed,4.47,4.87,,,0,0,1,0,C2/c (15),C2/c (15),Mn2P4O12,412558,0,C2/c,0,,Mn2(PO3)4 ICSD #412558 [ICSD 412558],data/cifs/Automated_Refinement_Results/CaMn(PO3)4/CaMn(PO3)4.cif,a80a40a0cf885e0bfd3a4a8342de1b303a2e8d3374feff210c67372015101af9,True,data/cifs/Manual_Refinement_Results/CaMn(PO3)4/CaMn(PO3)4.cif,2b474a17e8519eb0cdae521f19daafc4632a94945f428f4606b18ec64d6f9637,True,True
Na7Mg7Fe5(PO4)12,main,confirmed,analysis,confirmed,4.76,3.8,76.9,83.24,1,0,0,0,P1 (1),P1 (1),Na2Mg2Fe(PO4)3,138263,0,P1,0,,Na7.16Mg7.16Fe4.84(PO4)12 ICSD #281211 [ICSD 281211],data/cifs/Automated_Refinement_Results/Na7Mg7Fe5(PO4)12/Na7Mg7Fe5(PO4)12.cif,264dbace9200de544cac74e5aab8bdcde45747b8b601ade385625ef321e3bd5d,True,data/cifs/Manual_Refinement_Results/Na7Mg7Fe5(PO4)12/Na7Mg7Fe5(PO4)12.cif,e4dd881b548f4117a9fe6ea1b9c1e077b2cc8e84e41d6b8613dc90fe6ed224e8,True,True
KMn3O6,main,confirmed,analysis,confirmed,5.96,3.25,,64.88,1,1,1,0,C2/c (15),C2/m (12),K0.48Mn1.94O5.18,240249,0,C2/m,1,K0.5,,data/cifs/Automated_Refinement_Results/KMn3O6/KMn3O6.cif,8c3d30e092b807670bf7e108468fb6d8990863d6c3ecf7e7bea05917739b19ef,True,data/cifs/Manual_Refinement_Results/KMn3O6/KMn3O6.cif,ab468f4c84a65fb1f1d4bfad610b0e89f91017b590c4139cb9692b497a58c71c,True,True
CaNi(PO3)4,main,confirmed,confirmed,confirmed,5.34,2.71,92.19,67.78,0,0,1,0,C2/c (15),C2/c (15),CaNi3(P2O7)2; Ca2(P2O7),74046;14313,0,C2/c,0,,,data/cifs/Automated_Refinement_Results/CaNi(PO3)4/CaNi(PO3)4.cif,680053b8569806bb5511d1b233cd5a1cfc834c1e8731b5ec32ca4df703d120bd,True,data/cifs/Manual_Refinement_Results/CaNi(PO3)4/CaNi(PO3)4.cif,c6afee9dcbfe5a47c221121e7e384bee910376fd3047eeae45712a4cd4f7ba42,True,True
KBaPrWO6,main,confirmed,confirmed,confirmed,16.98,10.75,68.37,50.42,1,0,0,0,F-43m (216),F-43m (216),Ba11W4O23; Pr6O11 (EVA),418207;NA,0,F-43m,0,,,data/cifs/Automated_Refinement_Results/KBaPrWO6/KBaPrWO6.cif,3b60de47302201a8c54e8ac58715fb385f4f7981d364cf9080de0e1a0e07bb54,True,data/cifs/Manual_Refinement_Results/KBaPrWO6/KBaPrWO6.cif,35200c784ca993cb9f5b2b6f2feb017e9af81e284bb594d755121009c383a91e,True,True
CaGd2Zr(GaO3)4,inconclusive,inconclusive,inconclusive,inconclusive,9.2,3.1,66.51,20.73,,,,,P-1 (2),P-1 (2),Ca0.95Zr0.95Gd2.05Ga4.05O12,202850,0,P-1,0,,,data/cifs/Automated_Refinement_Results/CaGd2Zr(GaO3)4/CaGd2Zr(GaO3)4.cif,3fea6d6d8f33cfcbd35278402c4f2d33a61f4feba65d54b35ddb14615cd63809,True,data/cifs/Manual_Refinement_Results/CaGd2Zr(GaO3)4/CaGd2Zr(GaO3)4.cif,8757b2b90cb639e8617ba101cefb41ec3bfcc9f2b1f221bd305a92265b4dbaa1,True,True
KBaGdWO6,inconclusive,confirmed,inconclusive,inconclusive,14.78,3.44,39.7,9.94,,,,,F-43m (216),F-43m (216),Ba2GdWO6; Gd2O3,138973;40473,0,F-43m,0,,,data/cifs/Automated_Refinement_Results/KBaGdWO6/KBaGdWO6.cif,535f27fa720534342ed547da19a1eb4b44434fbf9d3a3105154eeb84958c41ea,True,data/cifs/Manual_Refinement_Results/KBaGdWO6/KBaGdWO6.cif,b80afe90e27adde12579c3a18813c64418185afa24c039cfa3edf31f9d565adf,True,True
Mn7(P2O7)4,inconclusive,inconclusive,inconclusive,inconclusive,4.09,2.61,37.31,39.29,,,,,C2221 (20),C2221 (20),Mn2(PO3)4,145534,0,C222_1,0,,,data/cifs/Automated_Refinement_Results/Mn7(P2O7)4/Mn7(P2O7)4.cif,70e27aed457ec6f59eca124882f3d0a5e9d1b97de08aa78774decea59ee07f91,True,data/cifs/Manual_Refinement_Results/Mn7(P2O7)4/Mn7(P2O7)4.cif,6b9244a9e71b286a7dcc6facdf084e46f94a4d0d27ba9cc05488c5c165dff64d,True,True
Mg3MnNi3O8,inconclusive,confirmed,inconclusive,inconclusive,9.83,3.25,,25.62,1,0,1,0,R-3m (166),R-3m (166),NiO; (Ni;Mn)(Ni;Mn)2O4,9866;84517,0,R-3m,0,,Ni6MnO8 ICSD #80301 [ICSD 80301]; Mg3MnNi3O8 ICSD #80306 [ICSD 80306],data/cifs/Automated_Refinement_Results/Mg3MnNi3O8/Mg3MnNi3O8.cif,0f67f6c39288b71bb733f7e6e591577a5c5c18cd6eb5475841dd22427303c683,True,data/cifs/Manual_Refinement_Results/Mg3MnNi3O8/Mg3MnNi3O8.cif,ae23223c83bc8b1d4923766dbb831aafc75e9af767add6bd7668c129ef3496e1,True,True
Y3Ga3In2O12,offline,confirmed,confirmed,"offline, not adjudicated",20.2,7.05,,63.47,1,0,0,1,Ia-3d (230),Ia-3d (230),Y3In2Ga3O12 [ALREADY KNOWN],54664,0,Ia-3d,0,,,data/cifs/Automated_Refinement_Results/Y3Ga3In2O12/Y3In2Ga3O12.cif,8f03c5aca723006e057d00a3e423c54eb296b04308fd7d2a08f7cd69df216341,True,data/cifs/Manual_Refinement_Results/Y3Ga3In2O12/Y3Ga3In2O12.cif,ae221e0a11af21a54b8f7cadf76765a4822fe7bd7f2993a27625a5a58e1a1128,True,True
Mg3NiO4,offline,confirmed,confirmed,"offline, not adjudicated",4.34,3.27,,,0,1,1,0,Pm-3m (221),Fm-3m (225),MgNiO2,290603,0,Fm-3m,1,Mg0.75 Ni0.25,MgNiO2 ICSD #290603 [ICSD 290603],data/cifs/Automated_Refinement_Results/Mg3NiO4/Mg3NiO4.cif,edfc88eefe8ea68510bf79b12352f076dcec7e2c0c657ac60b3180a212eabb96,True,data/cifs/Manual_Refinement_Results/Mg3NiO4/Mg3NiO4.cif,25a70760007202c153b3b756d451e56755feedb320eca1bd371340cb5fb7f6a5,True,True
